technology,edge,failure_states,time_operation,flow_transport
train_batch,waste_9_CH-waste_2_CH,truck_batch: waste_9_CH-swiss_storage_CH,0,0.0
train_batch,waste_9_CH-waste_11_CH,no_failure_technology: no_failure_location,0,0.0
train_batch,waste_9_CH-waste_11_CH,flowline: waste_1_CH-waste_19_CH,0,0.0
train_batch,waste_9_CH-waste_11_CH,train_batch: waste_11_CH-swiss_storage_CH,0,0.0
train_batch,waste_9_CH-waste_11_CH,train_batch: waste_19_CH-swiss_storage_CH,0,0.0
train_batch,waste_9_CH-waste_11_CH,truck_batch: waste_2_CH-swiss_storage_CH,0,0.0
train_batch,waste_9_CH-waste_11_CH,truck_batch: waste_9_CH-swiss_storage_CH,0,0.0
train_batch,waste_9_CH-waste_19_CH,no_failure_technology: no_failure_location,0,0.0
train_batch,waste_9_CH-waste_19_CH,flowline: waste_1_CH-waste_19_CH,0,0.0
train_batch,waste_9_CH-waste_19_CH,train_batch: waste_11_CH-swiss_storage_CH,0,0.0
train_batch,waste_9_CH-waste_19_CH,train_batch: waste_19_CH-swiss_storage_CH,0,0.0
train_batch,waste_9_CH-waste_19_CH,truck_batch: waste_2_CH-swiss_storage_CH,0,0.0
train_batch,waste_9_CH-waste_19_CH,truck_batch: waste_9_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-swiss_storage_CH,no_failure_technology: no_failure_location,0,22.27357284629724
train_batch,waste_11_CH-swiss_storage_CH,flowline: waste_1_CH-waste_19_CH,0,22.27357284629724
train_batch,waste_11_CH-swiss_storage_CH,train_batch: waste_11_CH-swiss_storage_CH,0,22.27304763041446
train_batch,waste_11_CH-swiss_storage_CH,train_batch: waste_19_CH-swiss_storage_CH,0,22.27357284629724
train_batch,waste_11_CH-swiss_storage_CH,truck_batch: waste_2_CH-swiss_storage_CH,0,22.27357284629724
train_batch,waste_11_CH-swiss_storage_CH,truck_batch: waste_9_CH-swiss_storage_CH,0,22.27357284629724
train_batch,waste_11_CH-waste_1_CH,no_failure_technology: no_failure_location,0,0.0
train_batch,waste_11_CH-waste_1_CH,flowline: waste_1_CH-waste_19_CH,0,0.0
train_batch,waste_11_CH-waste_1_CH,train_batch: waste_11_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_1_CH,train_batch: waste_19_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_1_CH,truck_batch: waste_2_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_1_CH,truck_batch: waste_9_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_2_CH,no_failure_technology: no_failure_location,0,0.0
train_batch,waste_11_CH-waste_2_CH,flowline: waste_1_CH-waste_19_CH,0,0.0
train_batch,waste_11_CH-waste_2_CH,train_batch: waste_11_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_2_CH,train_batch: waste_19_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_2_CH,truck_batch: waste_2_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_2_CH,truck_batch: waste_9_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_9_CH,no_failure_technology: no_failure_location,0,0.0
train_batch,waste_11_CH-waste_9_CH,flowline: waste_1_CH-waste_19_CH,0,0.0
train_batch,waste_11_CH-waste_9_CH,train_batch: waste_11_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_9_CH,train_batch: waste_19_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_9_CH,truck_batch: waste_2_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_9_CH,truck_batch: waste_9_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_19_CH,no_failure_technology: no_failure_location,0,0.0
train_batch,waste_11_CH-waste_19_CH,flowline: waste_1_CH-waste_19_CH,0,0.0
train_batch,waste_11_CH-waste_19_CH,train_batch: waste_11_CH-swiss_storage_CH,0,0.0
train_batch,waste_11_CH-waste_19_CH,train_batch: waste_19_CH-swiss_storage_CH,0,0.0
