technology,carrier,node,time_operation,flow_conversion_input
condition_110bar,co2_ambient,waste_1_CH,1,10.26730267302673
condition_110bar,co2_ambient,waste_1_CH,2,10.26730267302673
condition_110bar,co2_ambient,waste_1_CH,3,10.26730267302673
condition_110bar,co2_ambient,waste_1_CH,4,10.26730267302673
condition_110bar,co2_ambient,waste_2_CH,0,0.0
condition_110bar,co2_ambient,waste_2_CH,1,7.505254761530579
condition_110bar,co2_ambient,waste_2_CH,2,7.505254761530581
condition_110bar,co2_ambient,waste_2_CH,3,20.428498833134228
condition_110bar,co2_ambient,waste_2_CH,4,20.428498833134228
condition_16bar,electricity,swiss_storage_CH,0,0.0
condition_16bar,electricity,swiss_storage_CH,1,0.0
condition_16bar,electricity,swiss_storage_CH,2,0.0
condition_16bar,electricity,swiss_storage_CH,3,0.0
condition_16bar,electricity,swiss_storage_CH,4,0.0
condition_16bar,electricity,waste_1_CH,0,0.0
condition_16bar,electricity,waste_1_CH,1,0.0
condition_16bar,electricity,waste_1_CH,2,0.0
condition_16bar,electricity,waste_1_CH,3,0.0
condition_16bar,electricity,waste_1_CH,4,0.0
condition_16bar,electricity,waste_2_CH,0,0.0
condition_16bar,electricity,waste_2_CH,1,0.0
condition_16bar,electricity,waste_2_CH,2,0.0
condition_16bar,electricity,waste_2_CH,3,0.0
condition_16bar,electricity,waste_2_CH,4,0.0
condition_16bar,co2_ambient,swiss_storage_CH,0,0.0
condition_16bar,co2_ambient,swiss_storage_CH,1,0.0
condition_16bar,co2_ambient,swiss_storage_CH,2,0.0
condition_16bar,co2_ambient,swiss_storage_CH,3,0.0
condition_16bar,co2_ambient,swiss_storage_CH,4,0.0
condition_16bar,co2_ambient,waste_1_CH,0,0.0
condition_16bar,co2_ambient,waste_1_CH,1,0.0
condition_16bar,co2_ambient,waste_1_CH,2,0.0
condition_16bar,co2_ambient,waste_1_CH,3,0.0
condition_16bar,co2_ambient,waste_1_CH,4,0.0
condition_16bar,co2_ambient,waste_2_CH,0,0.0
condition_16bar,co2_ambient,waste_2_CH,1,0.0
condition_16bar,co2_ambient,waste_2_CH,2,0.0
condition_16bar,co2_ambient,waste_2_CH,3,0.0
